x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
2,2,-68.33188231,-64.5309217,-97.32854249,-64.80665583,-65.52325707,-50.96993718,-68.08454057,-62.52938062,-72.85738622,-62.9206963,-67.04962875,-62.33957954,-64.73649513,-52.06607388,-64.37661745,-67.94077976
2,3,-73.60544653,-63.57819345,-68.52039466,-64.96887909,-66.44364517,-48.16872334,-67.54627414,-65.0571044,-74.91470975,-60.82391346,-66.24502095,-62.16896388,-64.29759181,-48.73962461,-67.04399024,-67.59836825
2,4,-63.08642788,-62.38627755,-67.24887608,-66.28910855,-65.40798028,-51.81931632,-67.62158798,-64.96977193,-73.76145733,-63.0202078,-69.86193514,-59.94004681,-64.42144281,-53.22839157,-68.81809606,-68.80802239
2,5,-61.82785828,-63.33951652,-68.8636012,-55.25301683,-62.49155188,-54.96475975,-62.05142948,-65.49922125,-66.2387173,-62.97267,-68.72818546,-63.275271,-63.60899908,-55.12911708,-63.56104029,-67.50409483
2,6,-62.75307873,-62.42230603,-70.28503973,-60.47441923,-65.81288137,-57.5132351,-61.71309195,-66.33003211,-66.17148078,-67.70624053,-69.38188593,-53.92959805,-63.43507607,-55.32091168,-63.74509087,-67.45173705
2,7,-67.97981104,-59.7952318,-71.78613715,-58.34286424,-64.51936318,-58.4456117,-82.46213638,-66.0624615,-74.70913402,-61.52299312,-67.17607184,-58.83305922,-65.46875122,-56.01602532,-63.48337569,-68.19659956
2,8,-60.24255604,-58.52387031,-71.08804309,-52.95336027,-65.57656223,-55.2943655,-100.0,-65.31222937,-62.64733682,-60.12776227,-67.94808559,-50.6811501,-62.80520934,-55.33753332,-63.81581775,-68.36573818
2,9,-71.60450292,-61.88078684,-71.89633865,-54.3666158,-69.34684221,-58.23006547,-63.59145131,-65.43879956,-66.6837484,-61.78721,-66.73461019,-63.17634925,-66.70684516,-57.96136316,-60.46963342,-71.34945425
2,10,-85.38347223,-59.19814415,-70.7676308,-53.24760382,-66.54735358,-56.56142982,-61.15211301,-68.64980623,-60.94493761,-58.14607368,-66.06301066,-54.06542997,-67.4897663,-56.49489287,-64.45834912,-73.6991426
2,11,-82.90154452,-58.87672146,-65.73150367,-52.36325871,-66.9868296,-58.11521519,-62.57384812,-97.40913871,-64.04112739,-59.07087261,-63.26067462,-54.52422035,-67.61359935,-58.89440935,-62.87183104,-72.08817139
2,12,-70.46015571,-59.91219378,-67.35814553,-57.26714969,-69.63432373,-60.40382269,-60.80098869,-85.3998941,-59.51584807,-64.22758165,-65.74978935,-60.43601054,-69.10420886,-61.53499574,-60.48275432,-71.69456261
2,14,-57.80842222,-60.13092213,-65.86742734,-64.46884927,-65.81972942,-60.75373223,-58.70957103,-70.06227294,-60.43593586,-61.69432425,-62.61540237,-63.0028123,-70.4062267,-59.96241588,-60.13762853,-73.5139954
3,2,-67.21483924,-66.32272578,-69.41352373,-61.60074416,-63.74972172,-51.41123231,-59.63808015,-67.32933135,-74.17716273,-64.13952399,-65.45159299,-63.20610822,-62.98343012,-51.18220108,-60.19659592,-73.77496254
3,6,-61.66077222,-60.8276218,-69.41942613,-57.5315015,-64.38863709,-58.43306332,-61.42300266,-67.38454902,-66.21901199,-63.95773099,-68.67817492,-65.90678211,-60.61484321,-55.79644475,-62.02505605,-70.75706056
3,10,-65.63241287,-77.87746461,-66.22962818,-56.7742671,-85.14909478,-56.62588925,-60.47351792,-65.10922905,-66.58899283,-57.86628325,-66.90055032,-57.41768972,-67.40945122,-56.17790211,-61.16621699,-67.85885167
3,12,-62.25923797,-58.43962703,-67.95971331,-58.02217265,-65.50523463,-61.19827851,-60.61544236,-67.40079334,-62.62252172,-57.33146814,-59.99194647,-58.06347863,-73.48704811,-60.49074433,-61.47916288,-74.08844618
3,14,-60.0654303,-57.89907051,-66.78295133,-61.61984435,-69.41698378,-60.34396999,-58.42360165,-69.90923651,-65.45487339,-60.49126083,-63.57104192,-63.34547518,-68.59437246,-59.44158345,-61.34247812,-75.3323509
4,1,-65.46677282,-67.32189745,-73.33165822,-74.90426303,-64.7225478,-52.04602568,-57.43261126,-65.579011,-74.95816927,-65.39642552,-66.40193023,-65.16200281,-61.69249224,-55.98273744,-61.14790325,-66.02832614
4,2,-66.78020527,-66.85387439,-68.69235396,-100.0,-62.35671821,-56.07597932,-59.4264934,-96.10309284,-70.26786431,-65.4268877,-66.81682263,-74.32465144,-60.24305134,-56.02915706,-62.6736045,-70.26655506
4,3,-67.10051035,-65.49815249,-70.74185651,-71.29392402,-63.12519635,-53.59709636,-55.16181689,-76.70594744,-68.62339557,-61.78493438,-69.81813905,-61.12655649,-60.0939179,-54.70755564,-61.37876143,-73.1413272
4,4,-68.43676294,-67.37640854,-71.21007156,-61.19913741,-65.29965049,-55.20761483,-58.39559381,-70.15169694,-69.91100894,-63.70809023,-66.73827718,-62.69300949,-61.47667266,-56.10912227,-59.72737174,-74.94001014
4,6,-61.11639997,-62.10938358,-70.00178096,-62.73426079,-64.67481252,-90.50950248,-62.74766961,-69.46276757,-65.91903702,-63.80492773,-72.32051352,-63.32515984,-61.71832998,-57.92424564,-58.88502925,-71.37943526
4,7,-63.43094702,-59.96530462,-67.30972542,-58.68184587,-63.40867201,-58.38703582,-58.94150532,-65.60054712,-67.49704827,-62.14718246,-66.62632034,-66.10232661,-66.64400974,-57.23995453,-56.88816604,-69.8236377
4,8,-66.2335387,-59.62571881,-66.47676151,-58.32177879,-67.13175583,-61.23586168,-63.64614043,-64.6255767,-71.32803981,-61.78774008,-69.49311404,-57.1367943,-62.28966913,-58.1742276,-59.06065299,-70.33699911
4,10,-70.9168849,-57.39403167,-65.31914866,-57.83195941,-66.2319623,-57.23664512,-59.30761846,-64.38925136,-70.32029223,-59.5720427,-62.33925455,-61.66660472,-65.20366939,-56.64988897,-57.69976016,-67.00757158
4,12,-62.54767044,-54.24773947,-65.87395802,-60.80813148,-66.19530384,-62.59934084,-62.34654904,-66.08913028,-63.20044046,-57.45631264,-60.76444232,-60.49302432,-70.87683456,-60.09204883,-64.77319255,-69.37244489
4,13,-63.31720278,-54.70125078,-69.41222308,-59.64635738,-66.36132515,-60.21668916,-58.87507475,-68.28974047,-68.49242213,-57.44819799,-59.02294798,-64.27689949,-73.51595293,-59.13973668,-60.78145359,-70.1563597
4,14,-59.85958507,-57.36186905,-65.38500869,-60.4415797,-67.04386835,-60.10414718,-58.29933212,-71.41661806,-66.77753482,-53.37222443,-60.232603,-61.38254603,-67.6043671,-59.78749736,-61.4290729,-70.65195402
5,2,-66.51243137,-65.03283682,-73.67255357,-65.63449822,-67.78473814,-62.01556963,-56.01828073,-61.74058317,-71.22763201,-61.75970723,-71.07212339,-66.34294492,-62.74257592,-58.43551983,-54.56645785,-62.95969651
5,12,-60.46509266,-54.89349834,-70.58919387,-59.85276646,-66.52445606,-60.50210503,-61.18649494,-65.86835716,-65.51976467,-56.12042561,-61.34396425,-65.38473794,-72.06984304,-60.31394708,-65.65387868,-68.54684019
5,14,-70.23390151,-50.51856837,-65.89391601,-65.52980807,-65.38588713,-58.86735695,-58.69821337,-68.16544709,-63.29062762,-50.98522519,-60.49960563,-69.95846567,-66.39659526,-58.18733265,-60.78564841,-73.05712743
6,2,-68.31185762,-69.88396537,-73.32881197,-63.14074754,-70.74484255,-57.02933782,-49.24688931,-66.15879184,-68.8308489,-64.36689292,-71.92703776,-71.25431514,-65.2708566,-58.17358192,-51.46150051,-65.57252776
6,3,-66.68508321,-67.21947812,-70.4998518,-65.22117927,-70.65834473,-57.80403279,-50.68873898,-62.47306641,-75.10834499,-62.30664782,-71.35094584,-65.15169558,-71.51905936,-59.70543761,-50.38109769,-64.32050016
