x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
2,2,-68.33188231,-64.5309217,-97.32854249,-64.80665583,-65.52325707,-50.96993718,-68.08454057,-62.52938062,-72.66009677,-63.74668318,-65.44369263,-61.96361901,-66.30452518,-48.44197772,-65.38643293,-65.78091799,-72.85738622,-62.9206963,-67.04962875,-62.33957954,-64.73649513,-52.06607388,-64.37661745,-67.94077976
2,3,-73.60544653,-63.57819345,-68.52039466,-64.96887909,-66.44364517,-48.16872334,-67.54627414,-65.0571044,-71.28732837,-63.29870689,-65.74814609,-60.49230094,-65.22742911,-48.61330219,-64.72094772,-65.60309491,-74.91470975,-60.82391346,-66.24502095,-62.16896388,-64.29759181,-48.73962461,-67.04399024,-67.59836825
2,4,-63.08642788,-62.38627755,-67.24887608,-66.28910855,-65.40798028,-51.81931632,-67.62158798,-64.96977193,-70.40475388,-63.77858202,-65.6493231,-60.55814238,-62.36025222,-53.25752664,-63.98589261,-66.40960776,-73.76145733,-63.0202078,-69.86193514,-59.94004681,-64.42144281,-53.22839157,-68.81809606,-68.80802239
2,5,-61.82785828,-63.33951652,-68.8636012,-55.25301683,-62.49155188,-54.96475975,-62.05142948,-65.49922125,-63.34766653,-65.98319761,-66.26974817,-58.83321403,-61.77506724,-55.26053261,-62.36621142,-66.58124046,-66.2387173,-62.97267,-68.72818546,-63.275271,-63.60899908,-55.12911708,-63.56104029,-67.50409483
2,6,-62.75307873,-62.42230603,-70.28503973,-60.47441923,-65.81288137,-57.5132351,-61.71309195,-66.33003211,-63.64104999,-69.50766595,-68.09066542,-53.36121977,-62.20726884,-54.68007786,-63.93403411,-67.25438456,-66.17148078,-67.70624053,-69.38188593,-53.92959805,-63.43507607,-55.32091168,-63.74509087,-67.45173705
2,7,-67.97981104,-59.7952318,-71.78613715,-58.34286424,-64.51936318,-58.4456117,-82.46213638,-66.0624615,-68.8899595,-61.13055743,-67.93105619,-62.24774242,-63.74701542,-55.64377358,-63.59793975,-66.65917594,-74.70913402,-61.52299312,-67.17607184,-58.83305922,-65.46875122,-56.01602532,-63.48337569,-68.19659956
2,8,-60.24255604,-58.52387031,-71.08804309,-52.95336027,-65.57656223,-55.2943655,-100.0,-65.31222937,-60.99503907,-59.41968698,-66.30261967,-49.98576701,-65.18571606,-55.16136879,-60.80342123,-67.89820272,-62.64733682,-60.12776227,-67.94808559,-50.6811501,-62.80520934,-55.33753332,-63.81581775,-68.36573818
2,9,-71.60450292,-61.88078684,-71.89633865,-54.3666158,-69.34684221,-58.23006547,-63.59145131,-65.43879956,-69.68718895,-61.45021032,-65.15586539,-53.53634547,-68.75086545,-56.70451293,-59.2914771,-70.78758848,-66.6837484,-61.78721,-66.73461019,-63.17634925,-66.70684516,-57.96136316,-60.46963342,-71.34945425
2,10,-85.38347223,-59.19814415,-70.7676308,-53.24760382,-66.54735358,-56.56142982,-61.15211301,-68.64980623,-60.17448598,-59.46714086,-65.84596616,-54.33095307,-69.9266629,-56.22535054,-63.31078898,-70.98999263,-60.94493761,-58.14607368,-66.06301066,-54.06542997,-67.4897663,-56.49489287,-64.45834912,-73.6991426
2,11,-82.90154452,-58.87672146,-65.73150367,-52.36325871,-66.9868296,-58.11521519,-62.57384812,-97.40913871,-62.45516896,-58.49260061,-62.66286761,-53.57968245,-71.39250776,-58.54293547,-63.0300244,-73.41983306,-64.04112739,-59.07087261,-63.26067462,-54.52422035,-67.61359935,-58.89440935,-62.87183104,-72.08817139
