x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8
2,2,-68.33188231,-64.5309217,-97.32854249,-64.80665583,-65.52325707,-50.96993718,-68.08454057,-62.52938062,-72.66009677,-63.74668318,-65.44369263,-61.96361901,-66.30452518,-48.44197772,-65.38643293,-65.78091799
2,3,-73.60544653,-63.57819345,-68.52039466,-64.96887909,-66.44364517,-48.16872334,-67.54627414,-65.0571044,-71.28732837,-63.29870689,-65.74814609,-60.49230094,-65.22742911,-48.61330219,-64.72094772,-65.60309491
2,4,-63.08642788,-62.38627755,-67.24887608,-66.28910855,-65.40798028,-51.81931632,-67.62158798,-64.96977193,-70.40475388,-63.77858202,-65.6493231,-60.55814238,-62.36025222,-53.25752664,-63.98589261,-66.40960776
2,5,-61.82785828,-63.33951652,-68.8636012,-55.25301683,-62.49155188,-54.96475975,-62.05142948,-65.49922125,-63.34766653,-65.98319761,-66.26974817,-58.83321403,-61.77506724,-55.26053261,-62.36621142,-66.58124046
2,6,-62.75307873,-62.42230603,-70.28503973,-60.47441923,-65.81288137,-57.5132351,-61.71309195,-66.33003211,-63.64104999,-69.50766595,-68.09066542,-53.36121977,-62.20726884,-54.68007786,-63.93403411,-67.25438456
2,7,-67.97981104,-59.7952318,-71.78613715,-58.34286424,-64.51936318,-58.4456117,-82.46213638,-66.0624615,-68.8899595,-61.13055743,-67.93105619,-62.24774242,-63.74701542,-55.64377358,-63.59793975,-66.65917594
2,8,-60.24255604,-58.52387031,-71.08804309,-52.95336027,-65.57656223,-55.2943655,-100.0,-65.31222937,-60.99503907,-59.41968698,-66.30261967,-49.98576701,-65.18571606,-55.16136879,-60.80342123,-67.89820272
2,9,-71.60450292,-61.88078684,-71.89633865,-54.3666158,-69.34684221,-58.23006547,-63.59145131,-65.43879956,-69.68718895,-61.45021032,-65.15586539,-53.53634547,-68.75086545,-56.70451293,-59.2914771,-70.78758848
2,10,-85.38347223,-59.19814415,-70.7676308,-53.24760382,-66.54735358,-56.56142982,-61.15211301,-68.64980623,-60.17448598,-59.46714086,-65.84596616,-54.33095307,-69.9266629,-56.22535054,-63.31078898,-70.98999263
2,11,-82.90154452,-58.87672146,-65.73150367,-52.36325871,-66.9868296,-58.11521519,-62.57384812,-97.40913871,-62.45516896,-58.49260061,-62.66286761,-53.57968245,-71.39250776,-58.54293547,-63.0300244,-73.41983306
2,12,-70.46015571,-59.91219378,-67.35814553,-57.26714969,-69.63432373,-60.40382269,-60.80098869,-85.3998941,-64.58600166,-62.70340928,-62.42535381,-59.55251887,-71.94573785,-61.60375002,-60.64208998,-73.89109813
2,14,-57.80842222,-60.13092213,-65.86742734,-64.46884927,-65.81972942,-60.75373223,-58.70957103,-70.06227294,-57.52451016,-61.16383003,-60.54107737,-63.85925759,-68.57791702,-60.65873548,-60.16555677,-74.17381388
3,2,-67.21483924,-66.32272578,-69.41352373,-61.60074416,-63.74972172,-51.41123231,-59.63808015,-67.32933135,-71.20904241,-64.46499006,-68.00738164,-62.99839927,-62.75051189,-51.59019592,-63.40901665,-69.32868441
3,6,-61.66077222,-60.8276218,-69.41942613,-57.5315015,-64.38863709,-58.43306332,-61.42300266,-67.38454902,-63.48670839,-65.60936023,-67.91237973,-59.77410319,-61.05175167,-55.35871342,-59.96022133,-69.63088813
3,10,-65.63241287,-77.87746461,-66.22962818,-56.7742671,-85.14909478,-56.62588925,-60.47351792,-65.10922905,-70.24974937,-59.43972318,-64.47662618,-57.57390563,-68.89389268,-56.75240039,-59.50135042,-69.46340856
3,12,-62.25923797,-58.43962703,-67.95971331,-58.02217265,-65.50523463,-61.19827851,-60.61544236,-67.40079334,-60.383686,-56.78091984,-58.94323157,-57.33391973,-70.92497151,-61.4569792,-61.58007453,-72.08203349
3,14,-60.0654303,-57.89907051,-66.78295133,-61.61984435,-69.41698378,-60.34396999,-58.42360165,-69.90923651,-68.40017295,-57.36899486,-59.81920687,-62.09510596,-70.09380214,-59.4589751,-59.79183297,-75.6536657
4,1,-65.46677282,-67.32189745,-73.33165822,-74.90426303,-64.7225478,-52.04602568,-57.43261126,-65.579011,-71.0557193,-65.99950296,-69.55132674,-65.04829505,-62.34131258,-56.96368015,-61.58323925,-65.57465405
4,2,-66.78020527,-66.85387439,-68.69235396,-100.0,-62.35671821,-56.07597932,-59.4264934,-96.10309284,-71.64999783,-64.54885471,-68.89731628,-71.39916678,-60.68154658,-56.87659923,-59.47442559,-67.89455726
4,3,-67.10051035,-65.49815249,-70.74185651,-71.29392402,-63.12519635,-53.59709636,-55.16181689,-76.70594744,-70.22079246,-63.02814177,-68.4709267,-60.42188567,-60.03799093,-54.70746705,-58.23180293,-69.51664625
4,4,-68.43676294,-67.37640854,-71.21007156,-61.19913741,-65.29965049,-55.20761483,-58.39559381,-70.15169694,-70.74915194,-67.02674923,-68.55366937,-62.35931092,-60.3176142,-54.53741335,-60.20389839,-73.31080803
4,6,-61.11639997,-62.10938358,-70.00178096,-62.73426079,-64.67481252,-90.50950248,-62.74766961,-69.46276757,-64.78019674,-63.46560024,-67.13509896,-64.58494917,-61.49618475,-58.77130452,-59.04203091,-71.6792852
4,7,-63.43094702,-59.96530462,-67.30972542,-58.68184587,-63.40867201,-58.38703582,-58.94150532,-65.60054712,-65.74841464,-60.75709168,-65.1157036,-66.57509281,-64.63855794,-57.72160772,-57.51094579,-69.90608847
4,8,-66.2335387,-59.62571881,-66.47676151,-58.32177879,-67.13175583,-61.23586168,-63.64614043,-64.6255767,-69.667829,-61.58185445,-65.629064,-55.92094329,-65.43938726,-58.06944959,-60.61495378,-67.9488033
4,10,-70.9168849,-57.39403167,-65.31914866,-57.83195941,-66.2319623,-57.23664512,-59.30761846,-64.38925136,-74.25096871,-60.78302106,-60.42109422,-63.46102929,-70.09166621,-57.51625714,-57.99181757,-68.43425731
4,12,-62.54767044,-54.24773947,-65.87395802,-60.80813148,-66.19530384,-62.59934084,-62.34654904,-66.08913028,-61.31850862,-57.02897003,-58.44680935,-58.22479689,-68.69769463,-60.40165622,-63.028177,-71.51274412
4,13,-63.31720278,-54.70125078,-69.41222308,-59.64635738,-66.36132515,-60.21668916,-58.87507475,-68.28974047,-66.17437819,-57.33528789,-58.87563131,-63.223047,-71.61478567,-58.27765097,-60.23606477,-73.75313483
