x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
2,2,-68.33188231,-64.5309217,-97.32854249,-64.80665583,-65.52325707,-50.96993718,-68.08454057,-62.52938062
2,3,-73.60544653,-63.57819345,-68.52039466,-64.96887909,-66.44364517,-48.16872334,-67.54627414,-65.0571044
2,4,-63.08642788,-62.38627755,-67.24887608,-66.28910855,-65.40798028,-51.81931632,-67.62158798,-64.96977193
2,5,-61.82785828,-63.33951652,-68.8636012,-55.25301683,-62.49155188,-54.96475975,-62.05142948,-65.49922125
2,6,-62.75307873,-62.42230603,-70.28503973,-60.47441923,-65.81288137,-57.5132351,-61.71309195,-66.33003211
2,7,-67.97981104,-59.7952318,-71.78613715,-58.34286424,-64.51936318,-58.4456117,-82.46213638,-66.0624615
2,8,-60.24255604,-58.52387031,-71.08804309,-52.95336027,-65.57656223,-55.2943655,-100.0,-65.31222937
2,9,-71.60450292,-61.88078684,-71.89633865,-54.3666158,-69.34684221,-58.23006547,-63.59145131,-65.43879956
2,10,-85.38347223,-59.19814415,-70.7676308,-53.24760382,-66.54735358,-56.56142982,-61.15211301,-68.64980623
2,11,-82.90154452,-58.87672146,-65.73150367,-52.36325871,-66.9868296,-58.11521519,-62.57384812,-97.40913871
2,12,-70.46015571,-59.91219378,-67.35814553,-57.26714969,-69.63432373,-60.40382269,-60.80098869,-85.3998941
2,14,-57.80842222,-60.13092213,-65.86742734,-64.46884927,-65.81972942,-60.75373223,-58.70957103,-70.06227294
3,2,-67.21483924,-66.32272578,-69.41352373,-61.60074416,-63.74972172,-51.41123231,-59.63808015,-67.32933135
3,6,-61.66077222,-60.8276218,-69.41942613,-57.5315015,-64.38863709,-58.43306332,-61.42300266,-67.38454902
3,10,-65.63241287,-77.87746461,-66.22962818,-56.7742671,-85.14909478,-56.62588925,-60.47351792,-65.10922905
3,12,-62.25923797,-58.43962703,-67.95971331,-58.02217265,-65.50523463,-61.19827851,-60.61544236,-67.40079334
3,14,-60.0654303,-57.89907051,-66.78295133,-61.61984435,-69.41698378,-60.34396999,-58.42360165,-69.90923651
