error,ecdf
0.24573338,0.02
0.599885,0.04
0.7403612,0.06
0.9527756,0.08
1.3735836,0.1
1.4524305,0.12
1.5015777,0.14
1.8417337,0.16
1.9253547,0.18
1.9435346,0.2
1.97372,0.22
2.0599806,0.24
2.067167,0.26
2.1380353,0.28
2.2547617,0.3
2.4119225,0.32
2.7408772,0.34
2.751744,0.36
2.7888374,0.38
2.8618615,0.4
2.914243,0.42
2.924073,0.44
3.0218666,0.46
3.0542858,0.48
3.1402473,0.5
3.3606212,0.52
3.518216,0.54
3.6112218,0.56
3.7899776,0.58
4.0762677,0.6
4.166953,0.62
4.631887,0.64
4.656057,0.66
4.6838937,0.68
4.805826,0.7
4.9459476,0.72
4.98355,0.74
5.2422247,0.76
5.388907,0.78
5.63962,0.8
5.740241,0.82
5.9003305,0.84
6.519322,0.86
6.7751284,0.88
6.931953,0.9
7.2255197,0.92
8.741928,0.94
8.746991,0.96
9.070687,0.98
10.654021,1.0
