x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
1,1,-68.38 ,-69.77 ,-65.65 ,-63.99 ,-69.76 ,-40.26 ,-68.09 ,-63.94 
1,2,-69.32 ,-65.22 ,-65.84 ,-63.32 ,-67.24 ,-45.22 ,-67.03 ,-65.38 
1,3,-74.41 ,-63.76 ,-65.51 ,-61.21 ,-66.45 ,-47.77 ,-67.76 ,-66.54 
1,4,-68.38 ,-62.99 ,-65.17 ,-59.28 ,-65.82 ,-50.62 ,-61.86 ,-66.06 
1,5,-63.47 ,-65.70 ,-65.49 ,-59.27 ,-65.49 ,-52.87 ,-62.96 ,-66.97 
1,6,-63.70 ,-69.52 ,-67.45 ,-61.24 ,-65.08 ,-54.16 ,-63.36 ,-67.72 
1,7,-67.31 ,-64.25 ,-67.84 ,-52.93 ,-65.23 ,-53.83 ,-62.34 ,-67.59 
1,8,-60.86 ,-59.28 ,-69.05 ,-43.01 ,-69.23 ,-54.89 ,-60.00 ,-69.94 
1,9,-67.44 ,-59.14 ,-68.21 ,-43.05 ,-68.74 ,-57.58 ,-61.78 ,-71.97 
1,10,-62.26 ,-63.10 ,-68.11 ,-51.29 ,-71.39 ,-57.17 ,-66.22 ,-73.12 
1,11,-64.64 ,-63.37 ,-65.55 ,-52.46 ,-71.05 ,-60.16 ,-62.61 ,-73.03 
1,12,-60.87 ,-60.63 ,-62.98 ,-55.66 ,-71.68 ,-62.32 ,-60.69 ,-73.99 
1,13,-60.20 ,-63.67 ,-61.83 ,-60.75 ,-71.89 ,-61.93 ,-60.59 ,-73.59 
1,14,-62.79 ,-64.67 ,-63.45 ,-61.75 ,-68.88 ,-60.87 ,-61.12 ,-73.91 
1,15,-58.87 ,-66.12 ,-62.59 ,-59.76 ,-69.79 ,-60.35 ,-64.13 ,-71.88 
2,15,-61.18 ,-67.61 ,-62.30 ,-61.62 ,-69.09 ,-61.45 ,-63.29 ,-73.78 
2,14,-57.52 ,-61.16 ,-60.54 ,-63.86 ,-68.58 ,-60.66 ,-60.17 ,-74.17 
2,13,-58.67 ,-62.20 ,-61.14 ,-65.11 ,-70.26 ,-61.65 ,-60.08 ,-74.83 
2,12,-64.59 ,-62.70 ,-62.43 ,-59.55 ,-71.95 ,-61.60 ,-60.64 ,-73.89 
2,11,-62.46 ,-58.49 ,-62.66 ,-53.58 ,-71.39 ,-58.54 ,-63.03 ,-73.42 
2,10,-60.17 ,-59.47 ,-65.85 ,-54.33 ,-69.93 ,-56.23 ,-63.31 ,-70.99 
2,9,-69.69 ,-61.45 ,-65.16 ,-53.54 ,-68.75 ,-56.70 ,-59.29 ,-70.79 
2,8,-61.00 ,-59.42 ,-66.30 ,-49.99 ,-65.19 ,-55.16 ,-60.80 ,-67.90 
2,7,-68.89 ,-61.13 ,-67.93 ,-62.25 ,-63.75 ,-55.64 ,-63.60 ,-66.66 
2,6,-63.64 ,-69.51 ,-68.09 ,-53.36 ,-62.21 ,-54.68 ,-63.93 ,-67.25 
2,5,-63.35 ,-65.98 ,-66.27 ,-58.83 ,-61.78 ,-55.26 ,-62.37 ,-66.58 
2,4,-70.40 ,-63.78 ,-65.65 ,-60.56 ,-62.36 ,-53.26 ,-63.99 ,-66.41 
2,3,-71.29 ,-63.30 ,-65.75 ,-60.49 ,-65.23 ,-48.61 ,-64.72 ,-65.60 
2,2,-72.66 ,-63.75 ,-65.44 ,-61.96 ,-66.30 ,-48.44 ,-65.39 ,-65.78 
2,1,-71.38 ,-67.40 ,-66.11 ,-68.17 ,-66.58 ,-52.28 ,-63.11 ,-65.30 
3,1,-69.26 ,-66.82 ,-70.88 ,-69.78 ,-65.06 ,-52.13 ,-58.33 ,-67.78 
3,2,-71.21 ,-64.46 ,-68.01 ,-63.00 ,-62.75 ,-51.59 ,-63.41 ,-69.33 
3,3,-72.11 ,-63.41 ,-67.81 ,-65.81 ,-60.93 ,-52.84 ,-63.86 ,-69.42 
3,4,-69.51 ,-65.57 ,-70.13 ,-61.26 ,-61.35 ,-54.02 ,-62.10 ,-70.99 
3,5,-65.48 ,-68.44 ,-68.06 ,-63.25 ,-61.16 ,-55.91 ,-60.55 ,-69.59 
3,6,-63.49 ,-65.61 ,-67.91 ,-59.77 ,-61.05 ,-55.36 ,-59.96 ,-69.63 
3,7,-68.01 ,-61.39 ,-67.28 ,-61.21 ,-62.44 ,-55.44 ,-60.14 ,-67.64 
3,8,-65.80 ,-61.98 ,-67.20 ,-55.73 ,-62.84 ,-55.68 ,-61.67 ,-66.84 
3,9,-62.43 ,-60.47 ,-62.95 ,-58.32 ,-65.04 ,-57.02 ,-58.32 ,-67.47 
3,10,-70.25 ,-59.44 ,-64.48 ,-57.57 ,-68.89 ,-56.75 ,-59.50 ,-69.46 
3,11,-62.81 ,-62.03 ,-61.57 ,-54.80 ,-70.71 ,-59.44 ,-63.47 ,-73.19 
3,12,-60.38 ,-56.78 ,-58.94 ,-57.33 ,-70.92 ,-61.46 ,-61.58 ,-72.08 
3,13,-60.35 ,-58.72 ,-59.74 ,-57.93 ,-71.10 ,-60.92 ,-60.16 ,-73.92 
3,14,-68.40 ,-57.37 ,-59.82 ,-62.10 ,-70.09 ,-59.46 ,-59.79 ,-75.65 
3,15,-61.73 ,-61.37 ,-61.22 ,-63.82 ,-68.83 ,-60.87 ,-61.92 ,-75.80 
4,15,-62.99 ,-59.31 ,-61.79 ,-64.02 ,-70.25 ,-60.38 ,-61.41 ,-76.78 
4,14,-65.41 ,-55.06 ,-59.19 ,-62.00 ,-71.26 ,-59.00 ,-59.96 ,-75.02 
4,13,-66.17 ,-57.34 ,-58.88 ,-63.22 ,-71.61 ,-58.28 ,-60.24 ,-73.75 
4,12,-61.32 ,-57.03 ,-58.45 ,-58.22 ,-68.70 ,-60.40 ,-63.03 ,-71.51 
4,11,-61.78 ,-58.32 ,-60.25 ,-58.94 ,-69.21 ,-61.08 ,-61.15 ,-69.42 
4,10,-74.25 ,-60.78 ,-60.42 ,-63.46 ,-70.09 ,-57.52 ,-57.99 ,-68.43 
4,9,-63.07 ,-57.99 ,-66.16 ,-56.24 ,-63.97 ,-58.61 ,-59.11 ,-67.73 
4,8,-69.67 ,-61.58 ,-65.63 ,-55.92 ,-65.44 ,-58.07 ,-60.61 ,-67.95 
