x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
1,1,-66.36185747,-66.75247942,-69.26934832,-58.86323755,-73.94849751,-41.33031101,-67.56607706,-62.91141945,-68.3751429,-69.76709143,-65.64697546,-63.99099968,-69.75769838,-40.26318947,-68.09369632,-63.93826681,-69.84861103,-68.31349099,-63.96085778,-61.41874986,-66.58455514,-41.76515085,-65.96637548,-66.42863216
1,2,-68.76909127,-64.49273143,-66.74519611,-67.29478056,-97.50151704,-46.00784186,-69.66498169,-63.02348053,-69.32207215,-65.22030542,-65.83599676,-63.32290282,-67.24388368,-45.21583851,-67.02596806,-65.38105077,-69.78842536,-64.83733924,-64.47266623,-63.42587013,-65.88351894,-46.80021512,-67.12694677,-67.12333235
1,3,-68.30854038,-61.25380276,-67.87345806,-66.26767106,-83.54601781,-47.58712293,-67.73405554,-62.59668335,-74.40605314,-63.76125393,-65.51416376,-61.20897696,-66.45412887,-47.77489497,-67.76295385,-66.54064066,-72.1898496,-63.72898572,-69.05370141,-61.29975699,-67.89905449,-47.47571385,-67.41704539,-70.7429804
1,4,-64.80002371,-62.13596306,-72.13084008,-55.22026923,-68.40647715,-49.39333241,-63.4362314,-62.28177764,-68.38198275,-62.99204036,-65.16665919,-59.27906048,-65.8171508,-50.61527917,-61.85524689,-66.06109658,-69.06257732,-61.9141453,-64.86219367,-61.28617962,-64.00383351,-49.53084435,-63.14719686,-67.69986931
1,5,-62.63139916,-64.31790958,-67.73909976,-54.89679902,-70.09927837,-55.39270341,-62.3623847,-65.25550281,-63.46919555,-65.70484641,-65.48631457,-59.2738736,-65.48932477,-52.86516284,-62.95918089,-66.97490314,-67.18944779,-64.94440697,-66.11592167,-58.03704528,-66.49662388,-53.52446437,-62.10329258,-68.50894919
1,6,-65.04258736,-65.85557741,-68.40453124,-51.202802,-66.06641293,-56.86614493,-64.4946444,-66.9668601,-63.69809861,-69.52438875,-67.44513895,-61.24138029,-65.08359964,-54.1648225,-63.36293831,-67.71784553,-66.75262511,-68.72952731,-66.37311054,-53.40799959,-64.42411943,-54.889031,-63.62697255,-68.2906677
1,7,-66.86314661,-61.04152904,-74.3572372,-49.37190356,-65.89928866,-56.32793316,-62.02396344,-67.61593048,-67.30868128,-64.25325772,-67.84045835,-52.93175799,-65.22933474,-53.82604336,-62.34190636,-67.58512466,-71.63810895,-65.00728979,-68.65410741,-58.64511679,-64.01102709,-55.91844407,-64.0520636,-68.95276423
1,8,-62.27465775,-58.82226895,-71.0227542,-48.09288763,-69.63418278,-55.63145408,-60.14607911,-65.98250271,-60.85828766,-59.27943563,-69.0542674,-43.01424477,-69.23349298,-54.89215817,-60.00373983,-69.93701827,-60.85320224,-59.89301893,-66.84522976,-48.80710802,-65.20965809,-55.471506,-62.72131297,-69.98772415
1,9,-67.18684704,-58.89193791,-73.16824945,-57.51731545,-72.26085325,-57.5096966,-61.14474123,-66.23202911,-67.43674869,-59.14440824,-68.21466466,-43.05225577,-68.73649688,-57.58113213,-61.78496665,-71.97362842,-66.04555818,-60.6490512,-71.08357526,-46.22166913,-67.0489594,-57.8853793,-64.79548087,-73.85129948
1,10,-65.74092538,-61.48604641,-69.83116533,-49.32219022,-66.19001803,-57.34624447,-63.40439756,-68.30149569,-62.26070824,-63.10447496,-68.10668339,-51.29422081,-71.39192069,-57.16780547,-66.21940969,-73.12359394,-60.57644766,-61.3950561,-66.70118249,-50.02375026,-69.18667565,-57.09340579,-65.9482491,-75.31632207
1,11,-69.13052424,-59.4759908,-72.15121911,-53.54553265,-69.71629391,-56.98796124,-61.5808733,-70.33983595,-64.64304155,-63.36662938,-65.54873826,-52.45850917,-71.04681552,-60.16416456,-62.61106316,-73.02912584,-62.24581653,-61.44254693,-66.63662835,-53.05589678,-71.88355941,-61.11612536,-63.83489364,-74.06045847
1,12,-53.89717941,-58.16864048,-72.97927535,-71.94831931,-67.92879458,-61.50833503,-59.63552433,-71.88863812,-60.87229101,-60.6305011,-62.98227425,-55.66250967,-71.67682966,-62.32041983,-60.6944401,-73.99020519,-60.61174915,-61.31472908,-63.97564323,-57.14134972,-73.2150359,-63.59879783,-61.61350285,-75.99684573
1,13,-61.08424149,-62.03905336,-67.34374469,-55.95388178,-65.82817092,-62.50049583,-59.3525699,-73.64178073,-60.20265141,-63.67035017,-61.83192078,-60.75324028,-71.88733803,-61.93128268,-60.59418888,-73.5931347,-62.25599693,-64.00931934,-65.91324959,-59.56808197,-68.9657128,-62.39474172,-61.70844864,-69.77516736
1,14,-54.21664839,-60.54881678,-67.37836191,-61.02378767,-65.31451108,-61.72129398,-60.21758974,-73.69828133,-62.79320364,-64.66615185,-63.45302736,-61.75088529,-68.87924953,-60.86895781,-61.11898911,-73.91184444,-65.11724059,-66.76304811,-66.46182324,-60.68883552,-73.91630032,-60.35814943,-62.21858051,-69.98174303
