x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
1,1,-66.36185747,-66.75247942,-69.26934832,-58.86323755,-73.94849751,-41.33031101,-67.56607706,-62.91141945
1,2,-68.76909127,-64.49273143,-66.74519611,-67.29478056,-97.50151704,-46.00784186,-69.66498169,-63.02348053
1,3,-68.30854038,-61.25380276,-67.87345806,-66.26767106,-83.54601781,-47.58712293,-67.73405554,-62.59668335
1,4,-64.80002371,-62.13596306,-72.13084008,-55.22026923,-68.40647715,-49.39333241,-63.4362314,-62.28177764
1,5,-62.63139916,-64.31790958,-67.73909976,-54.89679902,-70.09927837,-55.39270341,-62.3623847,-65.25550281
1,6,-65.04258736,-65.85557741,-68.40453124,-51.202802,-66.06641293,-56.86614493,-64.4946444,-66.9668601
1,7,-66.86314661,-61.04152904,-74.3572372,-49.37190356,-65.89928866,-56.32793316,-62.02396344,-67.61593048
1,8,-62.27465775,-58.82226895,-71.0227542,-48.09288763,-69.63418278,-55.63145408,-60.14607911,-65.98250271
1,9,-67.18684704,-58.89193791,-73.16824945,-57.51731545,-72.26085325,-57.5096966,-61.14474123,-66.23202911
1,10,-65.74092538,-61.48604641,-69.83116533,-49.32219022,-66.19001803,-57.34624447,-63.40439756,-68.30149569
1,11,-69.13052424,-59.4759908,-72.15121911,-53.54553265,-69.71629391,-56.98796124,-61.5808733,-70.33983595
1,12,-53.89717941,-58.16864048,-72.97927535,-71.94831931,-67.92879458,-61.50833503,-59.63552433,-71.88863812
1,13,-61.08424149,-62.03905336,-67.34374469,-55.95388178,-65.82817092,-62.50049583,-59.3525699,-73.64178073
1,14,-54.21664839,-60.54881678,-67.37836191,-61.02378767,-65.31451108,-61.72129398,-60.21758974,-73.69828133
1,15,-61.29663517,-60.7523191,-67.81350903,-58.39176502,-68.77265403,-61.50135662,-62.97294439,-71.77973658
2,15,-58.10276772,-61.53093345,-66.14694889,-59.80247737,-66.02850369,-59.36118959,-60.44621171,-74.27293179
2,14,-57.80842222,-60.13092213,-65.86742734,-64.46884927,-65.81972942,-60.75373223,-58.70957103,-70.06227294
2,13,-56.58306407,-57.47547117,-68.01417821,-62.22308008,-69.96252803,-61.62310964,-60.46516396,-70.81091896
2,12,-70.46015571,-59.91219378,-67.35814553,-57.26714969,-69.63432373,-60.40382269,-60.80098869,-85.3998941
2,11,-82.90154452,-58.87672146,-65.73150367,-52.36325871,-66.9868296,-58.11521519,-62.57384812,-97.40913871
2,10,-85.38347223,-59.19814415,-70.7676308,-53.24760382,-66.54735358,-56.56142982,-61.15211301,-68.64980623
2,9,-71.60450292,-61.88078684,-71.89633865,-54.3666158,-69.34684221,-58.23006547,-63.59145131,-65.43879956
2,8,-60.24255604,-58.52387031,-71.08804309,-52.95336027,-65.57656223,-55.2943655,-100,-65.31222937
2,7,-67.97981104,-59.7952318,-71.78613715,-58.34286424,-64.51936318,-58.4456117,-82.46213638,-66.0624615
2,6,-62.75307873,-62.42230603,-70.28503973,-60.47441923,-65.81288137,-57.5132351,-61.71309195,-66.33003211
2,5,-61.82785828,-63.33951652,-68.8636012,-55.25301683,-62.49155188,-54.96475975,-62.05142948,-65.49922125
2,4,-63.08642788,-62.38627755,-67.24887608,-66.28910855,-65.40798028,-51.81931632,-67.62158798,-64.96977193
2,3,-73.60544653,-63.57819345,-68.52039466,-64.96887909,-66.44364517,-48.16872334,-67.54627414,-65.0571044
2,2,-68.33188231,-64.5309217,-97.32854249,-64.80665583,-65.52325707,-50.96993718,-68.08454057,-62.52938062
2,1,-65.70117328,-66.06476267,-88.19344698,-64.62143566,-67.1042968,-47.70045476,-60.90264759,-64.14261809
3,1,-66.00650045,-65.43630122,-69.42890873,-66.15162231,-65.71563756,-49.40168842,-57.38623795,-65.6852437
3,2,-67.21483924,-66.32272578,-69.41352373,-61.60074416,-63.74972172,-51.41123231,-59.63808015,-67.32933135
3,3,-69.94303091,-65.7657267,-69.41196122,-70.11216043,-64.55839773,-51.58041979,-61.40456093,-68.5116647
3,4,-66.14330349,-67.61581192,-71.66652421,-66.16743859,-65.7826665,-52.0206704,-66.32028047,-67.75572784
3,5,-62.2732306,-66.39500851,-73.54939577,-63.38547996,-65.44963992,-56.89861592,-65.70540314,-68.42277049
3,6,-61.66077222,-60.8276218,-69.41942613,-57.5315015,-64.38863709,-58.43306332,-61.42300266,-67.38454902
3,7,-69.45664187,-59.33424546,-72.21418991,-59.33981748,-62.91549759,-56.79373381,-61.31693585,-66.51733886
3,8,-63.20702627,-59.83045594,-71.51164681,-52.96911313,-62.99049181,-57.57829795,-63.81528568,-64.77027946
3,9,-65.31290223,-58.35130554,-67.60030103,-54.22852271,-66.44263153,-57.85789467,-58.1421782,-63.59211905
3,10,-65.63241287,-77.87746461,-66.22962818,-56.7742671,-85.14909478,-56.62588925,-60.47351792,-65.10922905
3,11,-65.13351084,-95.82638964,-66.08118656,-56.13292301,-96.79845941,-58.41781945,-65.14820121,-66.05623357
3,12,-62.25923797,-58.43962703,-67.95971331,-58.02217265,-65.50523463,-61.19827851,-60.61544236,-67.40079334
3,13,-58.60573984,-58.69228895,-67.47564829,-57.34649218,-69.11707703,-62.51740681,-58.39048122,-69.04868304
3,14,-60.0654303,-57.89907051,-66.78295133,-61.61984435,-69.41698378,-60.34396999,-58.42360165,-69.90923651
3,15,-62.33820237,-63.03091235,-65.15939932,-65.42672719,-65.02925179,-60.18079028,-58.61149012,-72.89086618
4,15,-61.92649574,-54.66117591,-64.68717266,-65.40369621,-67.23073914,-60.21583577,-59.05773755,-70.98822793
4,14,-59.85958507,-57.36186905,-65.38500869,-60.4415797,-67.04386835,-60.10414718,-58.29933212,-71.41661806
4,13,-63.31720278,-54.70125078,-69.41222308,-59.64635738,-66.36132515,-60.21668916,-58.87507475,-68.28974047
