x,y,rssi1,rssi2,rssi3,rssi4
0.5,0.5,-54.58745518,-50.96378658,-35.03319118,-53.4331262
0.5,1,-56.77440217,-55.04591877,-41.02394501,-54.58012665
0.5,1.5,-53.0215446,-56.14548784,-39.7613264,-51.06952191
0.5,2,-46.90661273,-51.85590059,-40.58823687,-53.93339493
0.5,2.5,-47.5318384,-49.23364939,-43.47537667,-52.47317468
0.5,3,-51.62597438,-59.42991428,-46.60218611,-55.42485526
0.5,3.5,-46.64200388,-49.50571258,-44.31840558,-53.29899509
0.5,4,-41.83184805,-56.08765812,-50.79714367,-55.02612811
0.5,4.5,-44.7109029,-52.28646253,-48.19574324,-54.54741164
1,4.5,-46.99298792,-54.09352753,-46.76587561,-60.59858334
1,4,-41.93317262,-51.58137789,-45.87489611,-57.74966147
1,3.5,-55.7534967,-54.73579427,-53.99713157,-55.52421331
1,3,-54.03184947,-50.78502701,-49.50064561,-51.82968634
1,2.5,-53.86747216,-48.35868387,-46.05799188,-53.49041644
1,2,-48.01319936,-52.70993773,-46.48306555,-56.87104591
1,1.5,-51.37274739,-47.33721849,-41.72304739,-54.05713211
1,1,-51.91378225,-51.43808224,-41.99563469,-54.40478176
1,0.5,-51.14092033,-54.00333562,-40.94154976,-52.29841588
1.5,0.5,-50.8026727,-51.57303538,-43.53330807,-52.91590935
1.5,1,-45.8524973,-46.82836829,-45.48792168,-54.92534469
1.5,1.5,-51.04599447,-48.70114104,-42.8825212,-48.26820256
1.5,2,-54.20075706,-47.52451292,-43.29094532,-52.33374838
1.5,2.5,-54.01505414,-54.05641719,-46.68598306,-56.51849333
1.5,3,-47.13518485,-48.01902688,-48.24107707,-56.60106137
1.5,3.5,-47.66707964,-49.94344564,-47.59459936,-54.07041067
1.5,4,-47.19922731,-44.99727432,-51.61753469,-52.77629349
1.5,4.5,-45.2373221,-54.79005406,-48.83091009,-51.22126213
2,4.5,-45.29712662,-46.72325151,-50.786854,-54.1798153
2,4,-50.25779736,-50.20633872,-46.50071238,-56.01861365
2,3.5,-46.64194355,-55.52627833,-56.85787678,-51.81733252
2,3,-53.39416602,-46.13058527,-56.97381273,-57.997036
2,2.5,-49.03633717,-46.89254334,-46.54805396,-49.66561454
2,2,-52.62728411,-47.68328437,-48.99900799,-53.01047884
2,1.5,-50.28660696,-54.46303166,-46.25708375,-52.14113834
2,1,-54.10840125,-52.73976862,-46.65110412,-56.05017737
2,0.5,-52.65914124,-54.70427153,-48.53543119,-52.41568113
2.5,0.5,-52.49986301,-59.01000879,-50.55605942,-47.46539456
2.5,1,-52.76952265,-50.79373632,-48.59960408,-54.01376263
2.5,1.5,-54.57632797,-48.80965851,-53.91334931,-57.20740239
2.5,2,-46.46651851,-45.33985513,-48.95497531,-48.95098708
2.5,2.5,-53.47516751,-45.36931577,-49.67344386,-50.11271748
2.5,3,-55.78051847,-55.90848046,-47.34104816,-51.61880248
2.5,3.5,-53.28392499,-53.23172556,-53.27608569,-52.24549001
2.5,4,-62.73351197,-46.40102594,-54.68200545,-54.41671674
2.5,4.5,-54.69090441,-53.19065497,-53.32198809,-52.67780714
3,4.5,-48.39674423,-51.57733307,-52.06506073,-54.83945623
3,4,-49.58422644,-47.35349426,-50.11204999,-51.36768704
3,3.5,-54.5812103,-50.56557181,-51.57949171,-52.35969498
3,3,-59.54393311,-47.71687794,-50.49993057,-50.66872443
3,2.5,-56.41993539,-55.09322188,-48.95883382,-48.79635509
3,2,-49.76384323,-53.3117455,-49.02449488,-55.02317149
3,1.5,-56.42139565,-50.76986202,-49.5457204,-52.42141629
3,1,-58.72263318,-48.74974435,-54.05739816,-49.47110384
3,0.5,-51.86315477,-55.29883739,-50.79627156,-44.90972855
3.5,0.5,-49.50863902,-48.79684963,-46.34337411,-46.84985824
3.5,1,-53.66877565,-46.71080524,-51.61613132,-47.98575184
3.5,1.5,-47.3636007,-48.53487505,-52.52278516,-48.80458154
3.5,2,-54.79069059,-48.53181689,-51.06870603,-55.28964893
3.5,2.5,-52.05464444,-50.79907033,-49.74371841,-55.11529863
3.5,3,-50.35201919,-46.90042887,-49.48572189,-47.60549569
3.5,3.5,-49.39436506,-42.60545608,-54.02526449,-50.717388
3.5,4,-55.09789968,-49.8778389,-58.30792816,-49.11022104
3.5,4.5,-58.37011517,-43.36739765,-54.11993181,-53.48725197
4,4.5,-51.39847596,-43.06451224,-50.84700132,-46.6931665
4,4,-52.45236629,-44.41170901,-48.84252423,-52.02258329
4,3.5,-47.17452738,-45.95160672,-49.54748178,-55.80109937
4,3,-50.20622225,-46.88660678,-58.94242322,-48.28284889
4,2.5,-49.45721501,-48.38495424,-50.74766552,-47.4196503
4,2,-50.55707867,-51.25465179,-53.5853928,-49.64720087
4,1.5,-50.37926014,-46.46630206,-47.9705205,-52.49918519
4,1,-58.17343613,-51.98743992,-54.47135486,-47.9254565
4,0.5,-53.57707654,-52.72356088,-53.46436677,-46.37738032
4.5,0.5,-50.73323961,-53.51827361,-48.25541202,-42.71760919
4.5,1,-49.27041326,-51.74764643,-51.79487141,-41.38903275
4.5,1.5,-50.7288572,-51.84686504,-48.42590771,-44.94437
4.5,2,-52.16182529,-47.595039,-56.71487561,-46.88761246
4.5,2.5,-54.08785686,-45.90128428,-50.87266382,-45.36191706
4.5,3,-50.54538999,-46.6901202,-52.81179656,-52.04975769
4.5,3.5,-61.45466199,-44.01156975,-60.01235982,-52.12248309
4.5,4,-53.10974867,-39.77660769,-48.65274549,-50.52392442
4.5,4.5,-49.09752256,-36.87195784,-52.07725299,-46.99657768
