x,y,rssi1,rssi2,rssi3,rssi4
0.5,0.5,-52.16220897,-59.1206391,-51.82678072,-36.29416086
0.5,1,-56.42115591,-58.47873763,-52.59496747,-45.99917112
0.5,1.5,-60.45888924,-52.92789426,-50.16361571,-40.71754269
0.5,2,-52.89950141,-50.1038436,-57.41551979,-46.43856026
0.5,2.5,-47.39946702,-58.66100632,-49.37068341,-42.78188684
0.5,3,-56.0604857,-54.91411583,-60.49142314,-46.10188806
0.5,3.5,-49.13206068,-68.41893325,-56.83674555,-51.18356716
0.5,4,-40.36544401,-52.25794875,-57.4404836,-49.4305407
0.5,4.5,-46.85274904,-54.22136242,-55.05977666,-51.23220597
1,4.5,-46.72519891,-55.79381369,-54.3711201,-48.73035571
1,4,-45.28437279,-57.57087375,-61.22186001,-49.16480826
1,3.5,-53.40964505,-55.32320534,-62.0461424,-45.0233016
1,3,-58.72524383,-66.52632161,-50.95677083,-47.52612899
1,2.5,-49.36121882,-47.8381406,-58.3154529,-46.056238
1,2,-47.0557695,-62.27742333,-67.03415278,-43.39206117
1,1.5,-56.32379472,-56.39603935,-58.53303897,-40.70578262
1,1,-56.26532419,-49.40065876,-58.60519577,-40.90516407
1,0.5,-53.48842255,-48.69454689,-53.92086227,-47.56710288
1.5,0.5,-49.41075951,-56.15099433,-63.47064793,-43.27673646
1.5,1,-50.49533402,-47.65138963,-54.93730528,-46.07529862
1.5,1.5,-55.08918249,-49.18972621,-56.56965195,-45.84770012
1.5,2,-55.80112866,-48.3991704,-56.34947758,-50.1253358
1.5,2.5,-55.1648275,-49.30135139,-51.54966413,-46.33809777
1.5,3,-46.27328948,-47.93806203,-62.20349858,-47.33682571
1.5,3.5,-47.61133268,-51.50715513,-55.23844041,-52.37234053
1.5,4,-46.96154367,-51.96272391,-56.17767367,-56.92363631
1.5,4.5,-46.11302339,-55.38610847,-55.45910761,-49.0746256
2,4.5,-49.32938693,-48.10985131,-57.08823793,-45.46187229
2,4,-46.17645238,-56.52704188,-55.00567416,-53.62085273
2,3.5,-47.23175675,-51.06959737,-52.30409002,-46.52950059
2,3,-61.03423543,-48.18838165,-53.17105533,-59.322698
2,2.5,-55.78389222,-49.25850581,-57.32276181,-50.65799514
2,2,-56.93394753,-56.26332418,-57.61775535,-52.15485827
2,1.5,-55.86640063,-50.63548095,-53.23565992,-61.08914608
2,1,-54.74352603,-57.04430732,-56.73259186,-46.37560944
2,0.5,-54.53704922,-68.4270829,-49.33534381,-54.9106021
2.5,0.5,-60.07099225,-55.92374269,-53.26765958,-49.94842045
2.5,1,-56.96621084,-61.27081213,-51.74174774,-45.87362362
2.5,1.5,-50.23538409,-52.61119954,-59.74568166,-49.06183617
2.5,2,-49.25159854,-55.91073935,-47.2784974,-53.62274533
2.5,2.5,-49.22200093,-49.75172733,-48.32778568,-47.24612266
2.5,3,-52.21931137,-57.66737084,-51.93876068,-55.39688922
2.5,3.5,-52.04676213,-62.9391861,-46.40714775,-53.7875961
2.5,4,-55.79311424,-49.4947915,-48.58928139,-47.09652197
2.5,4.5,-58.4366846,-54.85054981,-58.8013752,-53.914437
3,4.5,-53.72090981,-47.26189069,-47.36565063,-54.6117302
3,4,-54.79793113,-45.84316126,-58.27037671,-51.54618635
3,3.5,-53.370597,-57.0916787,-50.94261382,-55
3,3,-54.71183987,-51.23743154,-48.58971542,-45.20780777
3,2.5,-53.23155004,-53.20516497,-50.00700105,-51.88601813
3,2,-55.31063109,-53.32065718,-49.32825259,-52.80731916
3,1.5,-54.03061321,-69.00909268,-57.676294,-52.62259414
3,1,-58.88185684,-56.39275478,-62.86874787,-47.509406
3,0.5,-54.51594814,-58.89502254,-51.17198343,-57.42334688
3.5,0.5,-57.94366255,-49.29235002,-48.25239645,-57.82570583
3.5,1,-63.63367704,-51.73940055,-44.76582386,-54.87766833
3.5,1.5,-53.21096675,-49.24833063,-54.02002833,-52.60020522
3.5,2,-52.94775776,-47.18090356,-52.91199085,-53.94835847
3.5,2.5,-59.6254996,-52.31953095,-47.28140636,-54.08900495
3.5,3,-48.81426594,-45.53918842,-51.90646995,-54.94488006
3.5,3.5,-59.15400302,-48.00885715,-59.90150839,-54.92573228
3.5,4,-57.14424512,-49.7934753,-50.28618168,-54.35885455
3.5,4.5,-56.07403088,-47.52765367,-55.17919023,-52.27524312
4,4.5,-70.40273474,-43.43511445,-51.22192972,-61.73312154
4,4,-57.06950756,-41.71556862,-46.77030974,-49.50702147
4,3.5,-45.67042208,-45.62912637,-47.67284005,-52.7067146
4,3,-52.86104835,-53.96146231,-47.64407069,-49.97804428
4,2.5,-55.30333265,-60.49441517,-50.87266142,-53.20317789
4,2,-53.47833825,-49.87055387,-49.59975262,-62.51565397
4,1.5,-53.29021148,-52.3650953,-48.44070393,-52.06317933
4,1,-55.55494339,-50.83015449,-54.78648721,-62.21368462
4,0.5,-56.94069128,-54.30758314,-44.78659515,-47.09914589
4.5,0.5,-61.87292842,-54.32173969,-43.52831064,-48.44510391
4.5,1,-50.46598278,-50.23517597,-43.80077535,-47.25109573
4.5,1.5,-56.94549131,-57.29368497,-49.92742271,-56.06155408
4.5,2,-65.32347701,-51.98169805,-46.8921575,-49.64992899
4.5,2.5,-54.69854672,-54.3972248,-48.40726981,-51.62573601
4.5,3,-56.12365034,-52.48349348,-50.78983196,-64.00685744
4.5,3.5,-62.34916028,-45.36163864,-46.65695037,-67.08274221
4.5,4,-58.06826527,-42.16723471,-47.40445382,-57.74324038
4.5,4.5,-51.83904725,-42.85238222,-50.96986836,-57.6950537
