x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
1.5,1.5,-75.07241429,-72.79798363,-76.98242737,-65.9581455,-66.34650183,-45.80509269,-67.28182351,-69.83693563,-69.01804707,-72.18330355,-80.71721013,-66.55865602,-63.49161072,-45.56610448,-64.91788086,-67.87047908
1.5,3.0,-72.28548895,-69.25178675,-79.69700674,-63.9296239,-71.46814489,-57.10291018,-70.45310382,-76.27394085,-73.3060208,-68.19965291,-79.90506906,-66.32374167,-71.10380918,-51.12666157,-68.0344745,-68.87885584
1.5,4.5,-70.38621684,-65.78770183,-77.14094616,-61.64487239,-69.30610335,-51.77548716,-66.00990562,-70.16397051,-73.34057905,-63.74526118,-78.63081467,-63.58015444,-65.67297121,-57.69646926,-68.72398458,-67.0640449
1.5,6.0,-75.0803151,-66.59379162,-73.30419975,-63.1285133,-67.11599798,-50.8298999,-66.567496,-78.84889523,-68.20980679,-63.5735554,-70.44162177,-59.96516193,-67.51006752,-59.48425394,-66.03903404,-68.67741398
1.5,7.5,-97.16393618,-65.30288293,-74.8507756,-66.36489648,-65.99252955,-56.91850638,-63.27716097,-65.43669109,-68.2439738,-64.88270529,-74.35162931,-60.99688724,-64.45142902,-56.95352337,-62.75078066,-67.06192021
1.5,9.0,-71.66737992,-68.27342239,-80.74835653,-60.16477126,-66.74283524,-59.25965141,-61.44888729,-68.1284919,-72.58970935,-66.86901456,-76.60382918,-62.40457224,-69.62441986,-59.23767967,-66.35791997,-69.89633617
1.5,10.5,-69.19781554,-69.56754754,-77.22405102,-55.94385168,-66.44264786,-57.83816639,-59.61019837,-75.28878126,-68.50424666,-74.20049019,-79.57302155,-61.66050194,-68.14556801,-60.13049568,-66.2900354,-69.72864376
1.5,12.0,-65.78672228,-73.85185664,-79.8187308,-54.37948033,-68.6313703,-63.16122841,-61.0741426,-67.04505511,-70.60103848,-71.87016979,-76.38736147,-54.40099979,-72.46592706,-60.42044523,-63.96685033,-66.58342528
1.5,13.5,-67.26685204,-72.32528563,-69.73126882,-53.13003867,-73.184184,-67.23318359,-66.39508403,-70.76229568,-73.85721408,-71.21872269,-70.05036671,-56.9199485,-72.0044329,-64.35621811,-66.2434446,-67.74204132
1.5,15.0,-65.7358127,-71.59855987,-68.30932031,-46.62138962,-77.03893532,-65.82996126,-65.60390521,-66.03102063,-69.77665706,-71.74360542,-65.47886949,-50.57498542,-75.07209074,-61.90541704,-68.46150369,-68.37906869
1.5,16.5,-62.31691583,-68.41908094,-70.9397432,-52.17965636,-76.888766,-65.44886697,-70.77113787,-71.33703029,-70.52673805,-68.35097389,-72.02895451,-53.69802815,-75.36827799,-67.17039613,-67.55894081,-72.20370074
1.5,18.0,-62.19008851,-64.84147991,-69.72212325,-59.40002759,-70.43866666,-67.0629686,-73.03385339,-74.57213303,-61.51832306,-62.80245686,-66.89964254,-64.70992502,-70.17303889,-65.20588306,-74.61278791,-68.17724576
1.5,19.5,-68.57413255,-62.63954885,-75.6776033,-60.49280713,-66.72358237,-66.84217651,-68.14992243,-73.44890765,-63.87336563,-64.19534803,-73.77481357,-61.09650444,-70.30892974,-62.84940861,-64.95968121,-71.24187549
1.5,21.0,-68.65775737,-67.92028706,-66.81723074,-61.08681538,-65.9773177,-71.2936402,-66.76766478,-81.56987796,-63.60095928,-63.60057546,-68.66564764,-62.52708239,-67.63766924,-61.96568345,-65.8718685,-75.26198253
1.5,22.5,-68.80172532,-63.48464369,-67.88709828,-58.56360707,-65.52926768,-70.52780496,-62.44411588,-70.89395171,-72.26684392,-62.08992344,-65.85968465,-64.57163407,-65.36303334,-62.72161703,-63.77347167,-73.66089261
